model,web
Latitude 7290,http://downloads.dell.com/FOLDER05608938M/1/Latitude_7x90_1.10.0.exe
Latitude 7480,http://downloads.dell.com/FOLDER05550829M/1/Latitude_7x80_1.14.1.exe
Latitude 7490,http://downloads.dell.com/FOLDER05608938M/1/Latitude_7x90_1.10.0.exe
Latitude E5420,http://downloads.dell.com/FOLDER01931197M/1/E5420A14.exe
Latitude E5430,http://downloads.dell.com/FOLDER05350570M/1/5430A21.exe
Latitude E5440,http://downloads.dell.com/FOLDER05249950M/1/E5440A23.exe
Latitude E5470,http://downloads.dell.com/FOLDER05643101M/1/Latitude_E5x70_Precision_3510_1.20.4.txt
Latitude E6430,http://downloads.dell.com/FOLDER05371303M/1/E6430A23.exe
Latitude E6440,http://downloads.dell.com/FOLDER05250268M/1/E6440A23.exe
Latitude E7240,http://downloads.dell.com/FOLDER05250153M/1/E7240A27.exe
Latitude E7470,http://downloads.dell.com/FOLDER05630234M/1/Latitude_E7x70_1.21.6.exe
OptiPlex 3010,http://downloads.dell.com/FOLDER05344349M/1/O3010A22.exe
OptiPlex 3020,http://downloads.dell.com/FOLDER05644492M/1/O3020A20.exe
OptiPlex 3050,http://downloads.dell.com/FOLDER05613856M/1/OptiPlex_3050_1.12.1.exe
OptiPlex 390,http://downloads.dell.com/FOLDER05052945M/1/O390-A14.exe
OptiPlex 7010,http://downloads.dell.com/FOLDER05066036M/1/O7010A29.exe
OptiPlex 790,http://downloads.dell.com/FOLDER05078555M/1/O790-A22.exe
OptiPlex 9010,http://downloads.dell.com/FOLDER05272278M/1/OptiPlex9010A_A25.exe
OptiPlex 9020,http://downloads.dell.com/FOLDER05278235M/1/O9020A24.exe
OptiPlex 9020 AIO,http://downloads.dell.com/FOLDER05274658M/1/OptiPlex_9020_AIO_A19.exe
OptiPlex 9030 AIO,http://downloads.dell.com/FOLDER05274862M/1/OptiPlex_9030_AIO_A21.exe
Precision 3510,http://downloads.dell.com/FOLDER05643101M/1/Latitude_E5x70_Precision_3510_1.20.4.txt
Precision M4500,http://downloads.dell.com/FOLDER04330048M/1/Precision_M4500_A16.exe
Precision M4600,http://downloads.dell.com/FOLDER05213014M/1/Precision_M4600_A19.exe
Precision M4700,http://downloads.dell.com/FOLDER05356073M/1/M4700A19.exe
Precision M4800,http://downloads.dell.com/FOLDER05250168M/1/M4800A25.exe
Vostro 230,http://downloads.dell.com/bios/JL-140.exe
Vostro 260s,http://downloads.dell.com/FOLDER01639275M/1/MS-A10.exe
Vostro 270s,http://downloads.dell.com/FOLDER05049912M/1/Inspiron%20660s%20Vostro%20270s%20A13%20BIOS.exe
Dell System Vostro 3450,http://downloads.dell.com/FOLDER00952500M/1/3450A13.exe
Vostro 3550,http://downloads.dell.com/FOLDER02021989M/1/3550A12.EXE